Timestamp,Primary_Color,Secondary_Color,Blue,Gold,Green,Orange,Sports,Zodiac,Introvert_or_Extrovert
11/17/22 10:05,Green,Orange,8,9,19,14,No,Taurus,introvert
11/17/22 11:55,Blue,Gold,18,15,11,8,No,Scorpio,introvert
11/17/22 19:20,Green,Gold,10,17,17,6,No,Capricorn,introvert
11/28/22 10:49,Blue,Gold,20,11,11,8,No,Sagittarius,extrovert
11/28/22 10:49,Blue,Green,17,11,16,6,Yes,Gemini,introvert
11/28/22 10:50,Orange,Blue,12,10,12,16,Yes,Pisces,introvert
11/28/22 10:50,Blue,Gold,17,12,11,10,Yes,Leo,introvert
11/28/22 10:52,Blue,Gold,20,11,11,8,No,Cancer,introvert
11/28/22 10:53,Green,Gold,11,13,16,10,No,Pisces,introvert
11/28/22 10:55,Gold,Blue,15,20,8,7,No,Gemini,introvert
11/28/22 10:59,Blue,Orange,17,11,9,13,No,Pisces,extrovert
11/28/22 11:08,Green,Blue,13,8,20,9,Yes,Leo,introvert
11/28/22 11:11,Blue,Gold,16,15,8,12,Yes,Taurus,introvert
11/28/22 11:12,Blue,Gold,17,14,14,5,No,Libra,introvert
11/28/22 11:12,Blue,Orange,15,11,10,14,Yes,Virgo,extrovert
11/28/22 11:14,Blue,Gold,17,14,12,7,No,Scorpio,introvert
11/28/22 11:15,Blue,Orange,18,11,8,13,No,Libra,extrovert
11/28/22 11:27,Green,Blue,11,13,19,7,Yes,Aries,introvert
11/28/22 11:27,Green,Gold,11,13,19,9,Yes,Scorpio,extrovert
11/28/22 11:27,Green,Blue,16,6,19,9,No,Pisces,introvert
11/28/22 11:28,Blue,Gold,15,13,10,12,Yes,Gemini,introvert
11/28/22 11:39,Orange,Blue,14,13,6,17,Yes,Aquarius,introvert
11/28/22 11:39,Green,Gold,12,13,20,5,No,Aries,introvert
11/28/22 11:40,Blue,Orange,16,7,12,15,No,Aries,introvert
11/28/22 12:48,Blue,Orange,18,8,9,15,Yes,Cancer,introvert
11/28/22 12:48,Blue,Gold,17,12,11,10,No,Gemini,extrovert
11/28/22 12:48,Blue,Gold,17,15,6,12,Yes,Leo,introvert
11/28/22 12:49,Blue,Green,18,14,12,6,Yes,Leo,introvert
11/28/22 12:49,Blue,Gold,17,14,8,11,Yes,Taurus,extrovert
11/28/22 12:49,Orange,Green,12,8,14,16,Yes,Pisces,extrovert
11/28/22 12:49,Green,Orange,10,8,19,13,No,Sagittarius,introvert
11/28/22 12:50,Blue,Gold,18,17,8,7,No,Taurus,introvert
11/28/22 12:52,Green,Blue,11,8,20,11,Yes,Aquarius,introvert
11/28/22 12:54,Blue,Orange,16,8,12,14,No,Capricorn,introvert
11/28/22 12:56,Blue,Gold,17,12,8,13,No,Sagittarius,introvert
11/28/22 12:57,Blue,Orange,18,8,10,14,Yes,Pisces,introvert
11/28/22 12:57,Green,Blue,15,7,17,11,No,Libra,introvert
11/28/22 12:57,Gold,Blue,13,18,10,9,No,Pisces,extrovert
11/28/22 12:58,Orange,Blue,12,11,10,16,Yes,Scorpio,extrovert
11/28/22 13:03,Gold,Gold,18,15,11,6,No,Scorpio,introvert
11/28/22 13:03,Blue,Green,18,7,14,12,No,Scorpio,introvert
11/28/22 13:03,Gold,Blue,14,14,7,12,No,Cancer,introvert
11/28/22 13:07,Blue,Orange,18,11,9,12,Yes,Aries,introvert
11/29/22 14:15,Green,Blue,14,11,15,10,Yes,Libra,introvert
